Plot,Rep,Genotype,accession,species,species_mex,origin,notes1,notes2,DTS_corr,DTA_corr,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,EN_corr,NBR_corr,SPAD_corr,LAE_corr,StPi_corr,StPu_corr,Predicted_N_corr,inv4m_introgression
1903,2,Zx.0560_P2_P2_P1.1.1.1,Zx.0560,Dura,Mex,PV23-556,,,73.65207485,73.49120608,808.851,807.219,187.939,71.608,2.084,2.135,12.305,5.998768361,-0.003716088,0.002775979,,no
1904,2,Zv.0490_P4_P2_P2.2.1.1,Zv.0490,Bals,Bals,PV23-2199,,,73.56057357,72.67040778,810.447,796.581,223.122,93.845,3.038,2.152,44.493,4.999275289,-0.003783348,0.002965903,,no
1905,2,Zx.0580_P3_P1_P4.3.1.1,Zx.0580,Nobo,Mex,PV23-1079,,,74.2483526,74.32133259,820.148,821.22,225.246,95.448,2.071,2.152,31.929,4.999868827,-0.003850608,0.002688873,,no
1906,2,Zd.0030_P2_P5_P2.1.1.1,Zd.0030,Zdip,Zdip,PV23-922,,,73.83181594,74.81044567,812.204,828.682,191.223,59.36,1.064,3.131,8.281,6.000440576,-0.003917868,0.002605508,,no
1907,2,Zl.0040_P4_P4_P2.3.1.1,Zl.0040,Zlux,Zlux,PV23-1488,,,73.30377498,72.09044762,804.04,785.031,168.472,85.902,3.1,1.105,21.555,5.000906372,-0.003985127,0.007222028,,no
1908,2,Zh.0030_P4_P3_P2.3.1.1,Zh.0030,Hueh,Hueh,PV23-1294,,,73.89610158,74.04375916,816.371,817.115,223.806,97.256,2.085,2.099,41.421,5.001312357,-0.004052387,0.007187369,,no
1909,2,Zd.0040_P1_P4_P3.1.1.1,Zd.0040,Zdip,Zdip,PV23-963,,,73.89798465,73.84566394,816.694,815.452,210.02,91.414,2.123,3.148,28.007,4.001495323,-0.004119647,-0.001463469,,no
1910,2,Zv.0210_P1_P4_P2.2.1.1,Zv.0210,Bals,Bals,PV23-1762,,,73.72214322,73.447441,811.033,807.939,205.131,73.85,2.12,2.113,41.661,5.001531815,-0.004186907,-0.006509774,,no
1911,2,Zx.0100_P4_P3_P1.1.1.1,Zx.0100,Chal,Mex,PV23-385,,variegated,79.98342714,78.82766221,909.865,889.932,203.383,81.447,2.11,2.187,13.52,5.001409955,-0.004254166,0.007013006,,no
1912,2,Zd.0010_P2_P5_P4.1.1.1,Zd.0010,Zdip,Zdip,PV23-1997,,,76.11234454,74.89900961,849.797,830.549,205.926,75.165,2.137,2.173,52.059,6.000962181,-0.004321426,-0.002515334,,no
