Plot,Rep,Genotype,Species,species_mex,origin,notes1,notes2,GDDTS_corr,GDDTA_corr,PH_corr,EH_corr,NBR_corr,SPAD1_corr,SPAD2_corr,StPu_corr,StPi_corr,BW_corr,BL_corr,SL_corr
6921,3,Zv.0420_P3_P1_P1.1.1.1,Bals,Bals,PV23-1625,,,840.0351778,826.89851,157.7930239,52.71919487,2.160035388,54.70466946,29.07584199,-0.026189416,0.972903238,8.376720878,66.27697029,12.8691867
6922,3,Zv.0300_P1_P2_P1.2.1.1,Bals,Bals,PV23-2102,,,863.4356675,844.74762,165.5124474,64.04076562,2.277751843,51.01220808,10.79221629,-0.023590167,-0.007726845,7.133334456,58.3175663,13.37413416
6923,3,Purple Check,Check,Check,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6924,3,Zv.0160_P4_P4_P1.1.1.1,Bals,Bals,PV23-1577,,,905.4092837,900.3888367,198.0502478,70.72878129,1.99666694,62.7804575,49.44506298,-0.029159101,-0.009129387,7.951434163,54.83515247,13.78800425
6925,3,Zx.0580_P2_P5_P2.2.1.1,Nobo,Mex,PV23-1043,,,850.1084298,833.4769931,194.6662688,59.81959507,1.007774965,59.72097905,NA,-0.025841657,-0.018720688,7.824212775,52.13978068,14.17755263
6926,3,Zh.0020_P3_P1_P1.2.1.1,Hueh,Hueh,PV23-1239,,,917.1285703,916.1704088,165.0173865,43.82338851,1.134986398,57.32972626,28.92672557,-0.021802396,-0.0158395,8.037939887,62.02082323,13.48769896
6927,3,Zx.0570_P2_P5_P2.2.1.1,Nobo,Mex,PV23-1200,,,836.9266857,815.8046691,212.0526515,98.31292518,1.11086089,48.45579157,36.83065184,-0.017704984,0.024101369,7.506833902,53.18250734,13.78699844
6928,3,Zv.0070_P4_P4_P1.1.1.1,Bals,Bals,PV23-1615,,,933.8379009,932.4112671,199.0617234,62.7845038,0.847420267,55.92418515,27.3088846,-0.022809822,-0.005585798,7.457071355,57.19988504,13.5992894
6929,3,B73,B73,B73,,,,891.4155917,873.8952658,176.3826074,62.27803039,1.873399964,58.31395772,41.44149188,-0.017608166,-0.011737522,7.786229053,59.25569383,13.29427253
6930,3,Zx.0570_P2_P5_P2.4.1.1,Nobo,Mex,PV23-1202,,,875.2066788,868.9238429,174.1501795,57.15038567,1.73014427,57.11142856,47.75339981,-0.017534041,1.004706635,7.350539932,57.48421614,12.49840663
6931,3,Zx.0570_P2_P3_P1.3.1.1,Nobo,Mex,PV23-1174,,,866.4217228,840.0767249,188.0593009,79.24845186,1.150780914,56.65438553,53.52799105,-0.017263664,-0.000889725,6.864501612,66.37486316,15.61253187
6932,3,Zv.0120_P2_P4_P1.2.1.1,Bals,Bals,PV23-1698,,,879.621973,864.8304775,195.0430173,79.63521867,1.82597602,58.99233769,-0.340666137,-0.018352351,-0.003829398,7.228911451,58.85725832,14.30883195
6933,3,Zx.0340_P2_P1_P2.2.1.1,Chal,Mex,PV23-472,,,897.1148818,857.1326041,187.2509992,64.26913721,1.192175857,62.66312496,55.01478742,-0.016368912,-0.001708027,8.438341927,63.46319471,14.31173865
6934,3,Zx.0560_P4_P2_P1.1.1.1,Dura,Mex,PV23-609,,,806.5400454,800.9893278,167.2881294,49.06486696,0.955706056,53.47340831,26.38211398,-0.01209346,0.017634462,8.275807199,60.46636999,12.81804729
6935,3,Zv.0070_P4_P2_P1.1.1.1,Bals,Bals,PV23-1610,,,895.9985249,876.6206034,214.1674336,70.31886429,0.974797822,53.84332274,37.70968842,-0.012968087,0.021193846,7.408301138,59.81037062,14.42358176
6936,3,Zv.0300_P1_P3_P2.1.1.1,Bals,Bals,PV23-2109,,,875.7261682,861.2948454,175.9292706,51.14499836,0.854257422,58.75208133,47.78619157,-0.006831515,0.010182435,7.518641731,57.67774821,13.92831721
6937,3,Zd.0020_P3_P2_P3.2.1.1,Zdip,Zdip,PV23-1887,,,869.5364405,869.7153146,176.3732659,62.98819133,0.995755631,55.73905626,38.15779399,-0.011808088,0.012513189,8.559164957,51.95771696,12.73393615
6938,3,Zd.0020_P2_P1_P3.2.1.1,Zdip,Zdip,PV23-1832,,,947.3124803,926.1134929,197.278582,73.17551694,0.896062958,60.0504856,24.77910794,-0.010731781,0.034057557,5.013947641,64.58016626,13.34487858
6939,3,Zx.0030_P2_P1_P2.1.1.1,Chal,Mex,PV23-506,,,885.9891735,848.9491676,197.4055919,63.11230305,1.856189242,61.43313612,32.63731406,-0.008653203,1.000909894,8.431741926,61.43910597,14.547793
6940,3,Zx.0490_P4_P4_P1.1.1.1,Mesa,Mex,PV23-2313,,segregating for senescence,892.7044824,893.9186998,195.8674999,72.0100954,0.784150045,57.8377102,NA,-0.005482021,0.005120033,6.974285115,51.62877566,13.4620373
6941,3,Zh.0030_P4_P5_P2.2.1.1,Hueh,Hueh,PV23-1318,,,962.5660798,918.3103612,226.4075267,94.71925992,1.013015204,62.06730486,33.38040256,-0.003536059,0.017934298,7.945872851,71.42702853,16.06709979
6942,3,Zv.0270_P2_P4_P1.1.1.1,Bals,Bals,PV23-2163,,,828.3381133,858.3139646,177.7774966,62.95955653,0.890962104,57.74738158,43.13157352,-0.002240316,0.012161065,9.016908212,58.68216941,13.07629985
6943,2,Zv.0410_P2_P3_P2.2.1.1,Bals,Bals,PV23-1654,,,893.9464081,880.3920319,191.3289069,66.83763751,1.023996303,63.36714413,41.96139054,0.013090494,0.954946894,7.84324074,59.87814016,13.42449745
6944,2,Zl.0050_P1_P1_P2.3.1.1,Zlux,Zlux,PV23-1211,,,833.3982909,828.6084135,161.0170199,55.86388662,0.137826501,63.53811484,28.77293427,0.012982024,-0.038097906,8.074859224,65.60774548,13.3245563
6945,2,Zd.0010_P3_P4_P3.1.1.1,Zdip,Zdip,PV23-2058,,,865.0429576,854.2640807,212.4223332,90.15701439,-0.01424479,58.64124846,36.33934538,0.009345329,-0.018685229,7.959719556,58.40468549,14.42434913
6946,2,Zx.0560_P4_P1_P1.1.1.1,Dura,Mex,PV23-593,,,840.8857937,819.9079015,188.142103,66.9345721,1.070341436,62.24746667,7.866276041,0.009454281,-0.039086328,8.31119655,61.58975164,12.31883763
6947,2,Zv.0240_P2_P1_P1.2.1.1,Bals,Bals,PV23-2172,,,855.1911846,836.1165599,158.653051,59.9983025,0.977364486,42.34820029,19.91383104,0.012721576,-0.028844499,6.836191619,52.39308785,14.01489618
6948,2,Zd.0010_P2_P2_P2.1.1.1,Zdip,Zdip,PV23-1946,,,875.186361,836.4347367,200.1704589,60.8781589,1.19385938,52.80075141,5.281936752,0.009629355,0.954411421,7.095399356,53.37260513,14.91166326
6949,2,B73,B73,B73,,,,898.470293,872.540505,179.1876956,58.87274982,1.666591867,57.59433738,48.01779127,0.012010875,-0.028088015,8.575119085,66.30602514,13.30649829
6950,2,Zx.0550_P4_P2_P4.1.1.1,Dura,Mex,PV23-694,,,838.1027247,834.9655811,191.1560333,81.48639798,0.787057128,66.84277814,44.83707911,0.013117937,-0.039708191,8.993386447,59.00772428,12.50488531
6951,2,Zx.0470_P2_P3_P2.2.1.1,Mesa,Mex,PV23-2356,,,846.7241155,846.444502,166.8623585,60.22029018,0.984811465,61.03181649,47.51633563,0.0124642,0.973993304,7.980695218,60.45126517,12.40575443
6952,2,Zv.0160_P4_P5_P1.1.1.1,Bals,Bals,PV23-1580,,,859.0792329,829.8964646,198.2370826,77.80088193,1.839533972,58.59504541,42.31721566,0.009604102,-0.021992734,8.74225897,59.28544747,15.3982257
6953,2,Zd.0030_P2_P3_P1.3.1.1,Zdip,Zdip,PV23-884,,,840.9965549,825.763874,181.3610479,71.19976448,1.065799552,58.62298583,47.19896442,0.015390302,0.011136621,8.665704079,67.24000425,14.60335207
6954,2,Zd.0010_P2_P1_P2.1.1.1,Zdip,Zdip,PV23-1937,,,832.5232229,838.1170993,168.5787066,59.48900074,0.936491754,48.69639101,14.10872772,0.013968442,-0.000826191,8.877137494,62.15167979,13.40146497
6955,3,Zx.0550_P4_P3_P4.1.1.1,Dura,Mex,PV23-705,,,846.3506781,863.7005477,176.6370347,73.56727968,-0.205497145,57.07093519,42.08424662,-0.008869041,1.010744519,7.620210831,51.57357301,13.38633614
6956,3,Zx.0580_P3_P5_P4.3.1.1,Nobo,Mex,PV23-1137,,,779.484376,790.7333931,138.2751579,40.70477545,-0.13182399,59.97265368,NA,-0.012067974,0.006863596,7.87873546,55.89161017,11.87231198
6957,3,B73,B73,B73,,,,889.1993838,861.2164289,188.9129765,73.82893355,0.870504786,62.10752852,36.76019058,-0.010329799,0.016904824,8.168668683,58.14998071,14.05296213
6958,3,Zx.0580_P2_P2_P1.1.1.1,Nobo,Mex,PV23-1007,,,929.3308453,909.4188239,193.1367875,71.02469838,0.992091738,58.30294779,25.79182891,-0.016494279,0.028121179,8.559194435,64.2883137,15.04805061
6959,3,Zd.0040_P1_P4_P2.2.1.1,Zdip,Zdip,PV23-959,,,894.0045058,896.1011479,186.7319661,69.29917911,-0.155917709,56.16053247,23.86641515,-0.021962432,0.003622764,7.181717389,51.44117443,15.83230589
